title,artist,weeks,peak_rank,peak_date,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
(I Do The) Shimmy Shimmy,Bobby Freeman,13.0,37.0,1960-08-10,2YcKj4SBMy04Yxn0bcUY6Q,(I Do The) Shimmy Shimmy,Greatest Hits,2.0,N,2005,0.465,0.857,-5.498,0.0412,0.74,0.0,0.365,0.888,2.0,1.0,88.327,157.467
(I Don't Care) Only Love Me,Steve Lawrence,4.0,62.0,1959-05-13,2tve82MQkxXX1WsdxpI4sk,(I Don't Care) Only Love Me,The Best Of,10.0,N,1961-01-01,0.56,0.516,-12.275,0.183,0.468,0.000107,0.173,0.825,5.0,0.0,141.812,153.6
(I Wanna) Dance With The Teacher,The Olympics,5.0,71.0,1958-12-03,3rHQ8LI3Rrw2hy7H4FtbFw,I Wanna Dance with the Teacher,The Very Best of the Olympics,0.0,N,1960-05-17,0.567,0.458,-15.353,0.0623,0.428,0.0412,0.356,0.829,4.0,1.0,85.189,107.317
(I Wanna) Love My Life Away,Gene Pitney,8.0,39.0,1961-01-25,3a5dU16xeHzWMkLr8mnrYQ,(I Wanna) Love My Life Away - Original Musicor Recordings,Sings World-Wide Winners (Original Musicor Recordings),26.0,N,1984,0.522,0.844,-3.945,0.039,0.598,0.00279,0.61,0.893,0.0,1.0,135.959,112.8
(I'll Be With You In) Apple Blossom Time,Tab Hunter,11.0,31.0,1959-01-28,1qvPUtxpSd8xUwmkoGWs7V,I'll Be With You In Apple Blossom Time,Funny Candy Love,1.0,N,2024-08-02,0.576,0.375,-12.51,0.0367,0.863,5.66e-06,0.0593,0.635,8.0,1.0,130.33,131.579
(I've Got) Spring Fever,Little Willie John,5.0,71.0,1961-05-10,4cB9gp5NQmxstYj0fF5Y0w,(I've Got) Spring Fever,28 Big Ones,3.0,N,1976,0.699,0.373,-12.653,0.0813,0.799,0.545,0.0764,0.73,0.0,1.0,134.928,131.533
"(If You Cry) True Love, True Love",The Drifters,11.0,33.0,1959-10-28,6mZrW1JtojCUbpEJqvjEXE,"(If You Cry) True Love, True Love - Single Version",The Drifters: Essentials,21.0,N,2002-07-01,0.48,0.538,-5.368,0.0315,0.533,0.0,0.0945,0.523,0.0,1.0,140.042,138.24
(It Never Happens) In Real Life,Chuck Jackson,7.0,46.0,1961-04-05,0a5tdX3qPVFQ76x4HkVZEy,(It Never Happens) In Real Life,Super Hits,3.0,N,2019-08-14,0.696,0.46,-8.451,0.0304,0.692,0.0325,0.138,0.829,3.0,1.0,119.059,165.44
(It's Been A Long Time) Pretty Baby,Gino & Gina,1.0,46.0,1958-01-01,2PN3gbuBn5WBEwrEJH3xiu,sobeautiful,onmyradio,56.0,N,2008-11-24,0.689,0.562,-7.048,0.0637,0.0656,0.0,0.0885,0.21,7.0,0.0,133.987,291.133
(Let's Do) The Hully Gully Twist,Bill Doggett,3.0,66.0,1960-12-21,3l1YVg3uZMYbi5mROMRWRY,Holly Holy,All-Time Greatest Hits,45.0,N,2014-07-08,0.301,0.479,-8.099,0.0265,0.552,2.64e-05,0.634,0.403,9.0,1.0,102.963,280.467
(Love Theme From) One Eyed Jacks,Ferrante & Teicher,7.0,37.0,1961-03-15,4hFIG8f48S4aLcYwNY8lON,"One-Eyed Jacks (Theme From The Motion Picture ""One Eyed Jacks"")",All-Time Great Movie Themes,9.0,Y,1993-02-09,0.358,0.294,-14.009,0.0295,0.85,0.87,0.246,0.239,7.0,0.0,94.615,183.307
(New In) The Ways Of Love,Tommy Edwards,9.0,47.0,1959-11-11,4pNXt2MMFvTSBOkOPWjD8r,(New In) The Ways Of Love,It’s All In The Game: The Best Of Tommy Edwards,9.0,N,1994-01-01,0.386,0.322,-13.018,0.032,0.715,0.0,0.0544,0.508,7.0,0.0,178.668,159.64
(Night Time Is) The Right Time,Ray Charles with the Raylettes,1.0,95.0,1959-02-04,1piX68vNesm5gA3ZRM3z6Y,The Right Time,The Genius Sings the Blues,45.0,N,1961,0.665,0.645,-9.181,0.0352,0.613,0.0,0.33,0.749,3.0,1.0,78.115,204.6
(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires,15.0,2.0,1959-03-18,2TGiDvXSDPCcBTfaMtmsRc,(Now and Then There's) A Fool Such as I,Elvis 30 #1 Hits,41.0,N,2002-09-24,0.574,0.714,-6.344,0.0403,0.901,1.7e-05,0.255,0.722,0.0,1.0,63.623,159.36
(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,18.0,9.0,1959-09-09,528h8uGmZPQT867LM4wEcz,Seven Little Girls Sitting in the Back Seat,In Your Home Tonight!,18.0,N,1961-12-24,0.738,0.449,-6.662,0.0583,0.851,0.0,0.161,0.719,9.0,1.0,61.759,138.027
(The Clickity Clack Song) Four Little Heels,Brian Hyland,3.0,73.0,1960-10-05,0a63HKGXMQzxC7P5AXwOrO,Four Little Heels (The Clickety Clack Song),Chronology,25.0,N,1993-01-01,0.777,0.452,-10.767,0.0366,0.72,0.0,0.166,0.946,11.0,0.0,123.202,121.307
"(Theme From) ""Goodbye Again""",Ferrante & Teicher,4.0,85.0,1961-06-07,1CHDQPobVEBX2vsvhAxNBM,"Theme From The Motion Picture ""Goodbye Again""",All-Time Great Movie Themes,9.0,Y,1993-02-09,0.357,0.373,-9.624,0.0289,0.846,0.722,0.134,0.206,2.0,0.0,94.216,194.267
(Theme From) The Sundowners,Mantovani & His Orchestra,1.0,93.0,1960-11-02,4dojVJ7Pnl09IIBN1hVRgf,Unchained Melody,Candlelight Romance,45.0,N,1997-01-01,0.19,0.287,-13.078,0.0388,0.92,0.908,0.547,0.04,2.0,1.0,84.202,135.093
"(Theme from) ""The Dark At The Top Of The Stairs""",Ernie Freeman,6.0,70.0,1960-10-19,3xKFyZH2u4oj57WVaRBd1C,"Theme from ""The Dark At the Top of the Stairs""","Tara's Theme from ""Gone With The Wind"" and Other Movie Themes",23.0,N,1961,0.271,0.32,-15.968,0.0334,0.641,0.912,0.158,0.231,5.0,1.0,92.92,155.707
(Theme from) My Three Sons,Lawrence Welk And His Orchestra,7.0,55.0,1961-03-15,44hafgWGB8LID72gsrPkos,Theme from 'My Three Sons',The World's Finest Music,3.0,N,1957-12-24,0.367,0.83,-4.419,0.0364,0.321,0.912,0.0545,0.946,0.0,1.0,80.483,122.6
(Theme from) The Great Impostor,Henry Mancini And His Orchestra,1.0,90.0,1961-03-29,6bXt2g5gzKiM7uZ4RKgF6X,"Theme From ""The Great Impostor"" - REMASTERED",Greatest Hits - The Best of Henry Mancini,21.0,N,2000-09-14,0.544,0.365,-14.987,0.0272,0.384,0.164,0.361,0.415,9.0,1.0,86.833,164.304
(There Was A) Tall Oak Tree,Dorsey Burnette,15.0,23.0,1960-01-27,6lkrCM376Qf0vOrOEbz8xr,(There Was A) Tall Oak Tree - Remastered,Golden Selection (Remastered),0.0,N,2021-10-22,0.511,0.446,-8.818,0.0605,0.0851,0.0,0.121,0.595,7.0,1.0,133.232,129.08
(Welcome) New Lovers,Pat Boone,12.0,18.0,1960-02-17,5xrUYlQWwtFZgPR2B4Q9W4,(Welcome) New Lovers,Pat Boone's Golden Hits Featuring Speedy Gonzales,1.0,N,1962-08-01,0.733,0.27,-13.485,0.039,0.829,0.00053,0.201,0.67,8.0,1.0,119.626,148.893
(You Better) Know What You're Doin',Lloyd Price and His Orchestra,2.0,90.0,1960-11-30,7JI1MoBWRQAZFTL5FxrQla,Personality,Mr. Personality,47.0,N,1959-01-01,0.604,0.313,-13.495,0.0375,0.801,0.0,0.342,0.86,5.0,1.0,129.182,155.213
(You Were Made For) All My Love,Jackie Wilson,13.0,12.0,1960-07-06,5ZPv7iC9p3qaTgaFbouI3O,(You Were Made For) All My Love,The Ultimate Jackie Wilson,8.0,N,2006,0.321,0.468,-4.934,0.0317,0.898,8.29e-06,0.113,0.411,2.0,1.0,76.99,125.867
(You've Got To) Move Two Mountains,Marv Johnson,11.0,20.0,1960-08-31,3m9eJU9HVaYRYhFq6ZxcsT,(You've Got To) Move Two Mountains,Lost Hits Of The 60's,7.0,N,2012-01-01,0.735,0.724,-7.91,0.0494,0.686,3.35e-05,0.126,0.96,10.0,1.0,130.355,165.933
16 Candles,The Crests,21.0,2.0,1958-11-19,4MCaKCnmJe3RWiu0zic1tD,16 Candles,16 Candles,4.0,N,2007-01-01,0.441,0.398,-9.552,0.0278,0.757,0.0,0.0906,0.497,10.0,1.0,110.475,179.307
77 Sunset Strip,The Big Sound Of Don Ralke,5.0,69.0,1959-04-01,1dbLzkO69JZLqjEtCpeQYP,Marbles & Drains,Marbles & Drains,35.0,N,2017-11-24,0.761,0.66,-6.576,0.0345,0.016,0.913,0.0507,0.224,0.0,1.0,93.95,289.695
A Big Hunk O' Love,Elvis Presley With The Jordanaires,14.0,1.0,1959-07-01,7udjpL89NKvj6zPgDg8qF8,A Big Hunk O' Love,The 50 Greatest Hits,39.0,N,2020-04-03,0.532,0.887,-8.042,0.0441,0.776,0.197,0.319,0.964,7.0,0.0,87.549,132.84
A Certain Smile,Johnny Mathis,9.0,22.0,1958-01-01,1a01Dy8Us8aEh1hT9tOEmW,A Certain Smile (with Ray Ellis & His Orchestra),More: Johnny's Greatest Hits,34.0,Y,1959-06-22,0.172,0.327,-9.99,0.0301,0.847,1.21e-06,0.282,0.188,5.0,1.0,89.482,168.293
A City Girl Stole My Country Boy,Patti Page,1.0,90.0,1961-04-05,0lIoY4ZQsdn5QzhraM9o9u,Because the Night,Easter,66.0,N,1978,0.466,0.763,-7.748,0.0391,0.0542,0.0,0.119,0.473,11.0,0.0,123.539,204.8
A Closer Walk,Pete Fountain,3.0,93.0,1960-02-03,7vvB9xuUJVXEpMHawVD3ge,A Closer Walk,Pete Fountain's New Orleans,31.0,N,1959,0.597,0.286,-15.209,0.026,0.412,0.488,0.0855,0.499,5.0,1.0,110.039,130.693
A Cottage For Sale,Little Willie John,6.0,63.0,1960-05-04,4vqf6UqmiQ6QQOhic7qKDI,A Cottage For Sale,28 Big Ones,5.0,N,1976,0.306,0.298,-12.391,0.0307,0.703,3.07e-06,0.17,0.509,5.0,1.0,84.32,173.173
A Cross Stands Alone,Jimmy Witter,4.0,89.0,1961-04-26,4SrVB1XXNAYgeJ1LsZBcvG,The Room,The Room,47.0,N,2023-06-30,0.415,0.00787,-26.709,0.0563,0.995,0.917,0.0971,0.238,7.0,1.0,110.505,133.19
A Dollar Down,The Limeliters,3.0,60.0,1961-04-19,4MYwuoHZRF7zcWH9zXUhDQ,A Dollar Down,"Great Rare Songs, Vol. 2",2.0,N,2014-01-31,0.492,0.483,-13.851,0.197,0.595,5.6e-06,0.0454,0.901,0.0,1.0,211.206,158.093
A Fool In Love,Ike & Tina Turner,13.0,27.0,1960-08-24,5yUWHjKAiY6FoS9M2uf80P,A Fool In Love,Dynamite,25.0,N,1963-07-30,0.576,0.441,-8.993,0.0372,0.56,0.000224,0.32,0.77,7.0,1.0,128.188,172.253
A Girl Like You,Gary Stites,5.0,80.0,1959-07-15,5F40csF5DtKOGfEg8vuz1d,Rock 'n' Roll (Part 2),Glitter,60.0,N,1973,0.71,0.314,-10.666,0.082,0.000292,0.785,0.0857,0.401,11.0,0.0,129.124,193.253
A Girl's Work Is Never Done,The Chordettes,3.0,89.0,1959-08-12,1aFBhJ178WxpvVLAdgecoi,A Girl's Work Is Never Done,The Chordettes' Best,15.0,N,1957-01-01,0.641,0.967,-5.307,0.216,0.8,0.000672,0.143,0.97,3.0,1.0,124.139,136.053
A House Of Love,Scott Garrett,1.0,92.0,1959-03-25,11yifqyTTFTO31i0HQLTEH,I Wish You Could Feel This,Tiers Of Joy,33.0,N,2024-08-23,0.631,0.521,-11.205,0.0874,0.196,0.0,0.103,0.396,6.0,1.0,100.031,204.92
"A House, A Car And A Wedding Ring",Dale Hawkins,5.0,88.0,1958-11-05,0bQfDEGIkkjrrbGkK4JLmF,Sorry You're Sick,Watch Your Step,44.0,N,1982-01-01,0.716,0.251,-14.397,0.0791,0.954,0.000193,0.136,0.771,8.0,0.0,141.367,130.933
A Hundred Pounds Of Clay,Gene McDaniels,15.0,3.0,1961-03-15,4s9qKAu0wMyIWVUB7Cuv3j,A Hundred Pounds Of Clay,100 Lbs Of Clay!,44.0,N,1961-08-21,0.684,0.389,-10.933,0.035,0.604,0.0,0.369,0.824,0.0,1.0,129.06,142.027
A Kookie Little Paradise,Jo Ann Campbell,9.0,61.0,1960-08-10,2N1aqsdZ9UPYQFLYl7iXHX,Jamboree,Can You Canoe? And Other Adventure Songs (Music from the Book),34.0,N,2014,0.654,0.706,-5.865,0.0489,0.838,0.0,0.162,0.898,0.0,1.0,116.318,144.197
A Letter To An Angel,Jimmy Clanton,12.0,25.0,1958-10-15,3gsR6howXi3YynMxLEZU63,A Letter to an Angel,This Is Jimmy Clanton,35.0,N,1998-01-01,0.346,0.268,-12.122,0.0324,0.858,5.63e-06,0.202,0.43,3.0,1.0,153.633,174.413
A Little Bit Of Soap,The Jarmels,3.0,48.0,1961-07-19,73tGO4JJKrMYtjCbq1v8Oa,A Little Bit Of Soap,A Little Bit Of Soap: The Complete Laurie Recordings,39.0,N,2020-01-17,0.605,0.548,-8.591,0.149,0.231,0.0,0.15,0.67,10.0,0.0,137.487,134.667
A Little Feeling (Called Love),Jack Scott,2.0,91.0,1961-05-24,4YDV8fPzCCpghxuy0beu4P,A Little Feeling (Called Love) - Remastered,Capitol Collectors Series,1.0,Y,2011-01-01,0.476,0.164,-13.843,0.0303,0.576,0.000439,0.103,0.247,2.0,1.0,70.12,163.733
A Love Of My Own,Carla Thomas,6.0,56.0,1961-05-03,5RmFLhiJu0U2m28BeFC8Jy,A Love of My Own,Gee Whiz,19.0,N,1961,0.244,0.346,-8.741,0.0302,0.813,0.00171,0.313,0.435,0.0,1.0,185.453,152.24
A Lover's Prayer,Dion & The Belmonts,3.0,73.0,1959-10-14,2tcrbhSlKCv6bciZEy1BGE,A Lover's Prayer,Wish Upon A Star,21.0,N,1960-01-01,0.423,0.246,-11.049,0.0288,0.895,0.0,0.0877,0.213,2.0,1.0,141.076,140.507
A Lover's Question,Clyde McPhatter,24.0,6.0,1961-02-22,6HBgCYResmsdmOufyHVoNB,A Lover's Question,Clyde,37.0,N,2005-04-19,0.67,0.436,-11.698,0.0554,0.887,1.71e-05,0.0609,0.951,0.0,1.0,83.023,150.267
A Mess Of Blues,Elvis Presley With The Jordanaires,11.0,32.0,1960-07-20,4dNfypQwue0e46rQTdBU1Q,A Mess of Blues,"Elvis' Gold Records, Vol. 4",40.0,N,1968-01-22,0.645,0.505,-11.434,0.0318,0.763,4.6e-05,0.139,0.862,0.0,1.0,117.257,161.067
A Million To One,Jimmy Charles and The Revelletts,15.0,5.0,1960-08-17,6jX5mso4x00c1EiNMrTU9U,Please Mr. Postman - Single Version / Mono,Please Mr. Postman,64.0,N,1961,0.785,0.776,-5.259,0.0312,0.729,0.0,0.181,0.967,2.0,1.0,121.505,148.04
A Part Of Me,Jimmy Clanton,7.0,38.0,1958-10-29,3TeCzKlTPHU700TzO6TTGV,A Part of Me,This Is Jimmy Clanton,16.0,N,1998-01-01,0.534,0.224,-6.242,0.0313,0.38,0.0,0.0852,0.686,7.0,1.0,111.802,171.053
A Perfect Love,Frankie Avalon,6.0,47.0,1960-12-07,1OnzfZTZGZPjayArD35MFZ,A Perfect Love,Venus,29.0,N,2018-03-22,0.541,0.338,-10.589,0.0291,0.789,1.42e-06,0.138,0.613,7.0,1.0,126.047,141.01
A Prayer And A Juke Box,Little Anthony And The Imperials,4.0,81.0,1959-06-10,13VnT52RksrtePXc8w9NAC,A Prayer and Juke Box,Greatest Hits,3.0,N,2005-09-20,0.423,0.301,-14.698,0.0327,0.674,0.0,0.086,0.468,7.0,1.0,102.852,149.4
A Rockin' Good Way (To Mess Around And Fall In Love),Dinah Washington & Brook Benton,13.0,7.0,1960-05-18,4ljOQyHOyzefnJ1jdDW03j,A Rockin' Good Way (To Mess Around And Fall In Love),The Complete Dinah Washington On Mercury Vol. 6 (1958-1960),38.0,Y,1989-01-01,0.792,0.487,-11.984,0.0619,0.848,0.000164,0.191,0.959,8.0,1.0,129.911,148.827
A Scottish Soldier (Green Hills of Tyrol),Andy Stewart,6.0,69.0,1961-03-29,68kDivrBnvOyegC6OpVQZv,A Scottish Soldier (Green Hills of Tyrol),A Scottish Soldier,1.0,N,1961-04-13,0.462,0.267,-12.369,0.0654,0.944,0.0,0.111,0.461,4.0,1.0,85.556,199.133
A Star Is Born (A Love Has Died),Mark Dinning,6.0,68.0,1960-04-13,2IcqY68BxP1ONPi3ME6aje,"Evergreen (Love Theme from ""A Star Is Born"")",A Star Is Born,57.0,N,1976-11,0.35,0.303,-10.943,0.0316,0.932,0.0257,0.0907,0.187,9.0,1.0,114.709,184.8
A String Of Trumpets,The Trumpeteers,9.0,64.0,1959-04-22,1z22UxGBhKGYwFhUCqJZ9C,The Trumpet of Jesus,Priority,29.0,N,1980,0.406,0.548,-16.373,0.0486,0.0307,0.0,0.19,0.859,5.0,1.0,149.463,227.893
A Tear,Gene McDaniels,8.0,52.0,1961-06-28,4fY55Qe6xoGJS6LKgyRSqz,A Tear - Remastered,Best Of Gene McDaniels,8.0,N,1995-01-01,0.614,0.328,-8.232,0.0281,0.58,0.0,0.139,0.486,7.0,1.0,108.68,129.96
A Teenager Feels It Too,Denny Reed,3.0,94.0,1960-08-24,6V76ONUZMavBZa4jLSZHd8,A Teenager Feels It Too,"Amazing Hits Of The Transistor Era, Vol. 1",1.0,N,2007-08-07,0.635,0.38,-12.085,0.0311,0.764,0.0,0.167,0.896,5.0,1.0,124.285,127.8
A Teenager In Love,Dion & The Belmonts,15.0,5.0,1959-04-15,0QGwOFQChzflLAmPq5NwKo,A Teenager In Love,Presenting Dion And The Belmonts,62.0,N,1959-01-01,0.555,0.377,-9.123,0.0295,0.671,0.0,0.128,0.619,1.0,1.0,78.986,158.253
A Texan And A Girl From Mexico,Anita Bryant,4.0,85.0,1961-02-08,7GK2KVYH8FrTC9zehmjVMd,Ring My Bell,Ring My Bell,61.0,N,2005-09-26,0.781,0.556,-13.067,0.0611,0.0661,0.0907,0.0339,0.968,5.0,0.0,125.999,491.933
A Thing Of The Past,The Shirelles,7.0,41.0,1961-07-05,3Zb3CJR5ywHIWLPIVcrZr4,A Thing of the Past,Baby It's You,13.0,N,2005,0.578,0.222,-14.149,0.0313,0.611,0.0,0.586,0.737,0.0,1.0,112.876,159.293
A Thousand Miles Away,The Heartbeats,1.0,96.0,1960-11-02,6ofvy4eMivKYNRi4EaDlsF,A Thousand Miles Away,All the Hits and More,40.0,N,2018-11-09,0.461,0.271,-10.441,0.0606,0.846,0.0,0.12,0.425,7.0,1.0,166.282,148.04
A Thousand Stars,Kathy Young With The Innocents,17.0,3.0,1960-10-19,1ljeoUevUuLOlts7bDXNZK,A Thousand Stars (made popular by Kathy Young with The Innocents) [backing version],Pop Female Hits 20 - Party Tyme (Backing Versions),0.0,N,2023-09-08,0.595,0.414,-9.637,0.0287,0.761,0.935,0.121,0.536,0.0,1.0,96.55,192.374
A Touch Of Pink,Jerry Wallace,2.0,92.0,1959-04-15,5D9PzL95N2AE7hGj7r8kSw,Ripple - Live,Dear Jerry: Celebrating The Music Of Jerry Garcia (Live),42.0,Y,2016-10-14,0.475,0.696,-10.614,0.0366,0.39,0.0255,0.978,0.515,7.0,1.0,111.533,329.046
"A Woman, A Lover, A Friend",Jackie Wilson,12.0,15.0,1960-07-06,0QJEYxwztwNsHha0LIHAOU,"A Woman, A Lover, A Friend","A Woman, A Lover, A Friend",21.0,N,1960,0.424,0.402,-9.4,0.0299,0.777,2.97e-05,0.347,0.735,0.0,1.0,102.475,160.56
A Worried Man,The Kingston Trio,11.0,20.0,1959-09-09,2ypwkRuydYboYjvhduYvWm,A Worried Man - Remastered,The Capitol Collector's Series,25.0,N,1990-06-18,0.616,0.298,-17.204,0.0427,0.788,8.85e-05,0.119,0.585,2.0,1.0,100.04,207.333
A Year Ago Tonight,The Crests,10.0,42.0,1959-12-02,5PbhuLEuFgyzoTRJot1CL8,A Year Ago Tonight,Do The Doo Wop,1.0,N,2021-04-23,0.613,0.491,-12.445,0.0436,0.77,0.0,0.0972,0.808,7.0,1.0,143.666,145.56
About This Thing Called Love,Fabian,7.0,31.0,1960-02-24,02iaaQqyRP1523Iq3kQQr0,ANXIETY KILLS - Fabian Mazur Remix,ANXIETY KILLS - Fabian Mazur Remix,36.0,Y,2024-09-06,0.555,0.898,-4.857,0.252,0.0184,0.0242,0.837,0.448,2.0,1.0,97.838,115.722
Adam And Eve,Paul Anka,2.0,90.0,1960-03-30,4YmJXCXCkLorPkYiSPFUN3,Adam And Eve,Put Your Head On My Shoulder: The Very Best Of Paul Anka,26.0,N,2000-10-03,0.367,0.681,-8.886,0.0449,0.663,0.0,0.406,0.771,9.0,0.0,201.276,131.293
"Adeste Fideles (Oh, Come, All Ye Faithful)",Bing Crosby,3.0,45.0,1960-12-07,04DYwFIKeq2Bkn9aqSI9PC,Adeste Fideles,White Christmas,36.0,N,1945-01-01,0.27,0.254,-12.639,0.032,0.981,0.00491,0.295,0.427,4.0,1.0,105.839,190.44
African Waltz,Cannonball Adderley Orchestra,6.0,41.0,1961-04-05,73ywxvRTfXvgj2WP33Ud3Y,This Here,African Waltz,24.0,N,1961-02-28,0.303,0.326,-17.538,0.0391,0.667,0.0531,0.0767,0.754,0.0,0.0,182.708,180.267
Ain't Gonna Be That Way,Marv Johnson,7.0,74.0,1960-05-25,2mIx5zFpu1mrFExepZ0xJG,Soul Heaven,Complete Mythology,59.0,N,2010-11-09,0.724,0.583,-9.22,0.0311,0.309,0.814,0.275,0.961,8.0,0.0,134.538,155.547
"Ain't It, Baby",The Miracles,6.0,49.0,1961-03-22,32uBIZO3738DdTqAEWWOCh,Ain't It Baby,Cookin' With The Miracles,7.0,N,1962-01-01,0.53,0.885,-5.429,0.0507,0.768,0.0,0.208,0.846,2.0,1.0,132.22,153.267
Ain't That Just Like A Woman,Fats Domino,8.0,33.0,1961-01-18,3GK5ETquucGLxWBrzBY9nY,Ain't That Just Like A Woman,They Call Me The Fat Man (The Legendary Imperial Recordings),3.0,N,2016-01-01,0.554,0.824,-8.877,0.0535,0.547,0.000438,0.352,0.924,2.0,0.0,169.789,162.533
Alabam,Cowboy Copas,12.0,47.0,1960-09-21,5eURshOQPzQWBEBCJivKsi,Alabam,Copasetic,28.0,N,2005,0.759,0.675,-10.281,0.0268,0.291,0.000165,0.146,0.961,2.0,1.0,107.02,141.347
Alimony,Frankie Ford,2.0,97.0,1959-07-29,4GrFU6vSw8ildV5dQIgnI7,Alimony,Let's Take a Sea Cruise (Deluxe Version),20.0,N,1990-01-01,0.849,0.374,-12.059,0.0707,0.778,0.0,0.235,0.973,0.0,1.0,130.618,142.707
All I Could Do Was Cry,Etta James,15.0,33.0,1960-04-27,7Ca3Zb8wejNYCoei3tlJ9e,All I Could Do Was Cry,At Last!,52.0,N,1960,0.363,0.244,-8.968,0.0303,0.725,8.87e-05,0.456,0.512,8.0,1.0,173.509,175.627
All I Have To Do Is Dream,The Everly Brothers,2.0,49.0,1958-01-01,7dblNGnRXEBrVJunazs2U5,All I Have to Do Is Dream,The Very Best of The Everly Brothers,65.0,N,1964-08-01,0.534,0.462,-8.172,0.0266,0.839,0.0,0.129,0.534,4.0,1.0,96.195,143.333
All In My Mind,Maxine Brown,12.0,19.0,1960-12-28,4P2ecWU5M9cyGdZmVGpL5d,All In My Mind,Super Hits,30.0,N,2010,0.407,0.412,-8.718,0.0266,0.786,0.0,0.137,0.392,2.0,1.0,97.606,154.387
All Of Everything,Frankie Avalon,4.0,70.0,1961-02-22,5J4h8cvZuziCL12hP6tfzm,All of Everything,A Boy From Philly,2.0,N,2021-05-28,0.311,0.126,-16.616,0.0341,0.777,0.0,0.0766,0.344,9.0,1.0,185.306,153.757
All Over Again,Johnny Cash,11.0,38.0,1958-10-01,76CbOXTXJpDSKplGwgUHiB,All Over Again,The Essential Johnny Cash,49.0,N,2002-02-12,0.734,0.603,-10.394,0.0506,0.568,5.42e-06,0.106,0.786,3.0,1.0,108.594,132.4
All The Love I've Got,Marv Johnson,6.0,63.0,1960-06-08,2nV51RJaekTnlsTbu0ksuc,All The Love I've Got,More Marvelous Marv Johnson,5.0,N,1960-10-01,0.747,0.774,-8.585,0.0801,0.654,0.0,0.185,0.837,0.0,1.0,130.608,153.533
