title,artist,weeks,peak_rank,date
La-Do-Dada,Dale Hawkins,12.0,32.0,1958-08-27
Lady Luck,Lloyd Price and His Orchestra,13.0,14.0,1960-01-27
Last Chance,Collay & the Satellites,3.0,82.0,1960-04-20
Last Date,Floyd Cramer,20.0,2.0,1960-10-05
Last Night,Mar-Keys,8.0,4.0,1961-06-28
Lavender-Blue,Sammy Turner,18.0,3.0,1959-06-17
Lawdy Miss Clawdy,Gary Stites,9.0,47.0,1960-02-17
Lazy River,Bobby Darin,10.0,14.0,1961-02-01
Lazy Summer Night,The Four Preps,10.0,21.0,1958-08-13
Lean Jean,Bill Haley And His Comets,1.0,67.0,1958-08-06
Leave Me Alone (Let Me Cry),Dicky Doo And The Don'ts,9.0,44.0,1958-09-24
Leave My Kitten Alone,Little Willie John,15.0,60.0,1961-01-25
Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,7.0,13.0,1958-01-01
Leroy,Jack Scott,5.0,56.0,1958-01-01
Let It Be Me,The Everly Brothers,15.0,7.0,1960-01-06
Let It Rock,Chuck Berry,8.0,64.0,1960-01-27
Let Me Belong To You,Brian Hyland,3.0,55.0,1961-07-19
Let The Four Winds Blow,Fats Domino,5.0,15.0,1961-07-19
Let The Good Times Roll,Ray Charles,5.0,48.0,1960-01-06
Let The Little Girl Dance,Billy Bland,20.0,7.0,1960-02-10
Let Them Talk,Little Willie John,1.0,100.0,1960-02-17
Let's Go Again (Where We Went Last Night),Hank Ballard And The Midnighters,6.0,39.0,1961-02-15
Let's Go Steady For The Summer,The Three G's,3.0,55.0,1958-01-01
"Let's Go, Let's Go, Let's Go",Hank Ballard And The Midnighters,16.0,6.0,1960-09-14
Let's Have A Party,Wanda Jackson,10.0,37.0,1960-08-24
Let's Love,Johnny Mathis,9.0,44.0,1958-12-31
Let's Think About Living,Bob Luman,14.0,7.0,1960-08-31
Let's Try Again,Clyde McPhatter,8.0,48.0,1959-12-16
Let's Twist Again,Chubby Checker,10.0,9.0,1961-06-14
Life's A Holiday,Jerry Wallace,1.0,91.0,1961-05-03
Light Of Love,Peggy Lee,6.0,63.0,1958-10-29
Like I Love You,Edd Byrnes and Friend,9.0,42.0,1959-08-05
Like Strangers,The Everly Brothers,10.0,22.0,1960-10-26
Like Young,Andre Previn With David Rose,12.0,46.0,1959-05-27
"Like, Long Hair",Paul Revere & The Raiders,6.0,38.0,1961-03-22
Linda Lu,Ray Sharpe,13.0,46.0,1959-07-15
Ling-Ting-Tong,Buddy Knox,7.0,65.0,1961-03-01
Lipstick On Your Collar,Connie Francis,17.0,5.0,1959-05-13
Lisa,Jeanne Black,9.0,43.0,1960-07-20
Little Bitty Girl,Bobby Rydell,15.0,19.0,1960-01-27
Little Bitty Pretty One,Frankie Lymon,4.0,58.0,1960-08-03
Little Boy Blue,Huelyn Duvall,3.0,88.0,1959-06-10
Little Boy Sad,Johnny Burnette,9.0,17.0,1961-02-01
Little Brass Band,David Seville,2.0,78.0,1958-08-20
Little Coco Palm,Jerry Wallace,9.0,36.0,1959-12-30
Little Devil,Neil Sedaka,9.0,11.0,1961-04-26
Little Dipper,The Mickey Mozart Quintet,10.0,30.0,1959-05-06
Little Egypt (Ying-Yang),The Coasters,12.0,23.0,1961-04-19
Little Girl,Ritchie Valens,2.0,92.0,1959-07-08
Little Mary,Fats Domino,2.0,72.0,1958-01-01
Little Miss Blue,Dion,1.0,96.0,1960-11-30
Little Miss Stuck-Up,The Playmates,5.0,70.0,1961-03-01
Little Pedro,The Olympics,4.0,76.0,1961-03-22
Little Queenie,Chuck Berry,4.0,80.0,1959-04-08
Little Red Riding Hood,Big Bopper,4.0,72.0,1958-11-26
Little Serenade,The Ames Brothers,1.0,98.0,1958-01-01
Little Sister,Elvis Presley,1.0,61.0,1961-07-19
Little Star,The Elegants,17.0,1.0,1958-01-01
Little Things Mean A Lot,Joni James,9.0,35.0,1959-12-23
Little Turtle Dove,Otis Williams And His Charms,3.0,95.0,1961-03-08
Livin' Dangerously,The McGuire Sisters,1.0,97.0,1960-01-20
Living Doll,Cliff Richard and The Drifters,13.0,30.0,1959-10-14
Lonely Blue Boy,Conway Twitty,15.0,6.0,1959-12-23
Lonely Blue Nights,Rosie,4.0,66.0,1961-03-08
Lonely Boy,Paul Anka,15.0,1.0,1959-05-27
Lonely For You,Gary Stites,14.0,24.0,1959-04-08
Lonely Guitar,Annette,11.0,50.0,1959-07-01
Lonely Life,Jackie Wilson,1.0,80.0,1961-06-07
Lonely Man,Elvis Presley With The Jordanaires,5.0,32.0,1961-02-22
Lonely Saturday Night,Don French,3.0,72.0,1959-05-20
Lonely Street,Andy Williams,16.0,5.0,1959-09-02
Lonely Teardrops,Jackie Wilson,21.0,7.0,1958-11-19
Lonely Teenager,Dion,16.0,12.0,1960-10-12
Lonely Weekends,Charlie Rich,21.0,22.0,1960-03-09
Lonely Winds,The Drifters,9.0,54.0,1960-05-18
Lonesome Old House,Don Gibson,3.0,71.0,1959-04-29
Lonesome Town,Ricky Nelson,18.0,7.0,1958-10-15
Lonesome Whistle Blues,Freddy King,4.0,88.0,1961-05-17
Look For A Star,Deane Hawley,13.0,16.0,1960-06-15
Look For A Star - Part I,Garry Mills,11.0,26.0,1960-06-15
Look Who's Blue,Don Gibson,10.0,58.0,1958-09-24
Looking Back,Nat King Cole,1.0,81.0,1958-08-06
Lost Love,H.B. Barnum,7.0,35.0,1961-01-04
Love Is All We Need,Tommy Edwards,16.0,15.0,1958-10-22
Love Makes The World Go 'round,Perry Como,10.0,33.0,1958-10-08
Love Me In The Daytime,Doris Day,1.0,100.0,1959-05-06
Love Of My Life,The Everly Brothers,6.0,40.0,1958-11-19
Love Potion No. 9,The Clovers,17.0,23.0,1959-09-09
Love Walked In,The Flamingos,10.0,30.0,1959-09-30
Love You Most Of All,Sam Cooke,16.0,26.0,1958-11-12
Love You So,Ron Holden with The Thunderbirds,19.0,7.0,1960-03-30
Lover's Island,The Blue Jays,2.0,57.0,1961-07-19
Lovers Never Say Goodbye,The Flamingos,10.0,52.0,1959-01-14
Lovey Dovey,Clyde McPhatter,9.0,25.0,1960-12-14
Lucille,The Everly Brothers,10.0,21.0,1960-08-31
Lucky Devil,"Carl Dobkins, Jr.",17.0,25.0,1959-12-02
Lucky Ladybug,Billy & Lillie,13.0,14.0,1958-12-17
Lullaby Of Love,Frank Gari,12.0,23.0,1961-04-05
Lullaby Of The Leaves,The Ventures,5.0,69.0,1961-04-19
M.T.A.,The Kingston Trio,11.0,15.0,1959-06-10
Ma Ma Ma Marie,The Gaylords,1.0,97.0,1958-08-13
Mack The Knife,Bobby Darin,26.0,1.0,1960-04-27
Madrid,Nat King Cole,3.0,85.0,1959-01-28
Magic Moon (Clair De Lune),The Rays,2.0,71.0,1961-07-19
Main Theme from Exodus (Ari's Theme),Mantovani & His Orch.,13.0,31.0,1960-11-16
Make Someone Happy,Perry Como,2.0,80.0,1960-12-21
Makin' Love,Floyd Robinson,18.0,20.0,1959-07-15
Malagueña,Connie Francis,9.0,42.0,1960-08-17
Mama,Connie Francis,13.0,8.0,1960-02-17
Mama Said,The Shirelles,11.0,4.0,1961-04-12
Mandolins In The Moonlight,Perry Como,10.0,47.0,1958-10-22
Manhattan Spiritual,Reg Owen & His Orchestra,16.0,10.0,1958-12-03
Many A Time,Steve Lawrence,2.0,97.0,1958-09-17
Many A Wonderful Moment,Rosemary Clooney,3.0,84.0,1960-08-24
Many Tears Ago,Connie Francis,13.0,7.0,1960-11-02
Margie,Fats Domino,8.0,51.0,1959-05-06
Maria,Johnny Mathis,4.0,78.0,1960-05-25
Marina,Rocco Granata and the International Quintet,11.0,31.0,1959-11-11
Martinique,The Exotic Sounds of Martin Denny,2.0,88.0,1959-07-15
Mary Ann Thomas,Bobby Freeman,2.0,90.0,1959-05-27
Mary Don't You Weep,Stonewall Jackson,7.0,41.0,1959-12-23
Mary Lou,Ronnie Hawkins and The Hawks,16.0,26.0,1959-08-12
Matilda,Cookie And His Cupcakes,15.0,47.0,1959-01-14
Mau-Mau,The Wailers,5.0,68.0,1959-08-12
May You Always,The McGuire Sisters,16.0,11.0,1958-12-31
Mediterranean Moon,The Rays,2.0,95.0,1960-01-20
Memphis,Donnie Brooks,2.0,90.0,1961-03-08
Merry Christmas Baby,Chuck Berry,3.0,71.0,1958-12-10
Merry-Go-Round,Marv Johnson,6.0,61.0,1961-03-08
Mexican Hat Rock,The Applejacks,15.0,16.0,1958-09-10
Mexico,Bob Moore and His Orch.,2.0,59.0,1961-07-19
Miami,Eugene Church,5.0,67.0,1959-07-29
Michael,The Highwaymen,7.0,3.0,1961-07-05
Midnight,Paul Anka,4.0,69.0,1958-01-01
Midnight Flyer,Nat King Cole,12.0,51.0,1959-07-29
Midnight Lace,Ray Ellis,4.0,84.0,1960-10-19
Midnight Lace - Part I,Ray Conniff His Orchestra And Chorus,4.0,92.0,1960-10-12
Midnight Oil,Charlie Blackwell,9.0,55.0,1959-02-04
Midnight Stroll,The Revels,10.0,35.0,1959-10-14
Midnighter,The Champs,1.0,94.0,1958-08-06
Midnite Special,Paul Evans,13.0,16.0,1960-01-20
Mighty Good,Ricky Nelson,9.0,38.0,1959-11-25
Mighty Good Lovin',The Miracles,2.0,72.0,1961-07-05
Milk Cow Blues,Ricky Nelson,3.0,79.0,1960-12-28
Milord,Edith Piaf,4.0,74.0,1961-03-01
Mio Amore,The Flamingos,6.0,74.0,1960-07-13
Miss Fine,The New Yorkers,5.0,69.0,1961-05-10
Miss You,Jaye P. Morgan,5.0,78.0,1959-02-11
Missing You,Ray Peterson,4.0,59.0,1961-07-19
Mission Bell,Donnie Brooks,20.0,7.0,1960-06-08
Mister Livingston,Larry Verne,3.0,75.0,1960-12-14
Mister Lonely,The Videls,3.0,73.0,1960-06-08
Misty,Johnny Mathis,17.0,12.0,1959-09-30
Model Girl,Johnny Maestro,12.0,20.0,1961-02-01
Mojo Workout (Dance),Larry Bright,3.0,90.0,1960-05-11
Mom And Dad's Waltz,Patti Page,6.0,58.0,1961-06-07
Mona Lisa,Carl Mann,16.0,25.0,1959-07-15
Money (That's what I want),Barrett Strong,17.0,23.0,1960-01-27
Moody River,Pat Boone,12.0,1.0,1961-04-26
Moon Talk,Perry Como,9.0,29.0,1958-01-01
Moonlight Bay,The Drifters,1.0,86.0,1958-08-06
Moonlight Serenade,The Rivieras,11.0,47.0,1959-02-04
More Money For You And Me,The Four Preps,2.0,78.0,1961-07-19
More Than I Can Say,Bobby Vee,5.0,61.0,1961-02-22
Morgen,Ivo Robic and The Song-Masters,17.0,13.0,1959-08-12
Mother-In-Law,Ernie K-Doe,14.0,1.0,1961-03-22
Mountain Of Love,Harold Dorman,19.0,21.0,1960-02-24
Mr. Blue,The Fleetwoods,20.0,1.0,1959-09-02
Mr. Custer,Larry Verne,13.0,1.0,1960-08-24
Mr. Happiness,Johnny Maestro with The Coeds,5.0,87.0,1961-07-19
Mr. Lucky,Henry Mancini,13.0,21.0,1960-03-30
Mr. Pride,Chuck Jackson,1.0,91.0,1961-04-05
Mr. Success,Frank Sinatra,11.0,41.0,1958-10-22
Mule Skinner Blues,The Fendermen,18.0,5.0,1960-05-18
Mumblin' Mosie,The Johnny Otis Show,2.0,80.0,1960-02-10
"Music, Music, Music",The Sensations Featuring Yvonne,2.0,83.0,1961-07-19
Muskrat Ramble,Freddy Cannon,6.0,54.0,1961-01-04
My Claire De Lune,Steve Lawrence,1.0,97.0,1961-07-12
My Dearest Darling,Etta James,13.0,34.0,1960-09-14
My Empty Arms,Jackie Wilson,9.0,9.0,1961-01-04
My Empty Room,Little Anthony And The Imperials,2.0,86.0,1960-04-13
My Girl Josephine,Fats Domino,15.0,14.0,1960-10-19
My Happiness,Connie Francis,18.0,2.0,1958-12-03
My Heart Became Of Age,Annette With The Afterbeats,3.0,74.0,1959-10-21
My Heart Has A Mind Of Its Own,Connie Francis,17.0,1.0,1960-08-10
My Heart Is An Open Book,"Carl Dobkins, Jr.",24.0,3.0,1959-04-08
My Heart's On Fire,Billy Bland,3.0,93.0,1961-07-19
My Hero,The Blue Notes,4.0,78.0,1960-09-28
My Home Town,Paul Anka,13.0,8.0,1960-05-18
My Kind Of Girl,Matt Monro,13.0,22.0,1961-05-24
My Last Date (With You),Skeeter Davis,8.0,26.0,1960-12-07
My Life,Chuck Willis,5.0,56.0,1958-08-13
My Little Marine,Jamie Horton,3.0,84.0,1960-01-20
My Love,Nat King Cole-Stan Kenton,8.0,47.0,1960-07-27
My Love For You,Johnny Mathis,11.0,47.0,1960-08-24
My Lucky Love,Doug Franklin With The Bluenotes,4.0,73.0,1958-09-03
My Man,Peggy Lee,6.0,81.0,1959-01-14
My Melancholy Baby,Tommy Edwards,8.0,26.0,1959-05-13
My Memories Of You,Donnie and The Dreamers,1.0,82.0,1961-07-12
My Own True Love,Jimmy Clanton,12.0,33.0,1959-07-29
My Shoes Keep Walking Back To You,Guy Mitchell,10.0,45.0,1960-07-06
My Tani,The Brothers Four,7.0,50.0,1960-06-29
My True Love,Jack Scott,14.0,3.0,1958-01-01
My True Story,The Jive Five With Joe Rene And Orchestra,8.0,21.0,1961-06-28
My Wish Came True,Elvis Presley With The Jordanaires,11.0,12.0,1959-07-08
Nag,The Halos,6.0,43.0,1961-07-12
National City,"Joiner, Arkansas Junior High School Band",8.0,53.0,1960-05-11
Natural Born Lover,Fats Domino,9.0,38.0,1960-10-26
Nature Boy,Bobby Darin,6.0,40.0,1961-06-07
Near You,Roger Williams,17.0,10.0,1958-08-13
Need You,Donnie Owens,15.0,25.0,1958-10-01
Need Your Love,Bobby Freeman,5.0,54.0,1958-11-19
Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,16.0,1.0,1958-01-01
Never Be Anyone Else But You,Ricky Nelson,16.0,6.0,1959-02-18
Never Let Me Go,Lloyd Price and His Orchestra,3.0,82.0,1960-03-02
Never On Sunday,Don Costa And His Orchestra And Chorus,26.0,19.0,1961-06-14
New Orleans,U.S. Bonds,14.0,6.0,1960-10-12
Nice 'N' Easy,Frank Sinatra,6.0,60.0,1960-08-24
Night,Jackie Wilson,17.0,4.0,1960-03-16
Night Theme,The Mark II,7.0,75.0,1960-10-12
Night Train,The Viscounts,5.0,82.0,1960-07-13
"Nine More Miles (The ""Faster-Faster"" Song)",Georgie Young,9.0,58.0,1958-09-17
No,Dodie Stevens,8.0,73.0,1960-08-03
"No Chemise, Please",Gerry Granahan,3.0,36.0,1958-01-01
No If's - No And's,Lloyd Price and His Orchestra,7.0,40.0,1960-04-20
No Love Have I,Webb Pierce,9.0,54.0,1959-12-23
No One,Connie Francis,8.0,34.0,1961-01-11
No One But You (In My Heart),The Ames Brothers,9.0,45.0,1958-09-24
No One Knows,Dion & The Belmonts,16.0,24.0,1958-08-20
"No Other Arms, No Other Lips",The Chordettes,11.0,27.0,1959-02-25
No Regrets,Jimmy Barnes,2.0,90.0,1959-03-04
"No, No, No",The Chanters,5.0,50.0,1961-06-14
Nobody But You,Dee Clark,17.0,21.0,1958-11-26
Nobody Cares (about me),Jeanette (Baby) Washington,9.0,60.0,1961-04-19
Nobody Knows You When You're Down And Out,Nina Simone,2.0,93.0,1960-08-31
Nobody Loves Me Like You,The Flamingos,10.0,30.0,1960-04-13
Nola,Billy Williams,12.0,39.0,1959-01-07
Non Dimenticar (Don't Forget),Nat King Cole,11.0,45.0,1958-10-08
North To Alaska,Johnny Horton,23.0,4.0,1960-09-14
Not One Minute More,Della Reese,11.0,16.0,1959-12-09
Nothin' Shakin',Eddie Fontaine,3.0,64.0,1958-09-17
Nothing But Good,Hank Ballard And The Midnighters,1.0,74.0,1961-07-19
Nothing In The World,Nat King Cole,1.0,99.0,1958-08-06
Now And Forever,Bert Kaempfert And His Orchestra,4.0,67.0,1961-07-19
Now You Know,Little Willie John,1.0,100.0,1961-07-12
O Dio Mio,Annette,12.0,10.0,1960-02-17
O' Falling Star,The Four Knights,3.0,83.0,1959-01-07
Oh Lonesome Me,Johnny Cash With The Gene Lowery Singers,2.0,93.0,1960-12-28
Oh Mein Papa,Dick Lee,1.0,94.0,1961-03-08
Oh Why,The Teddy Bears,2.0,91.0,1959-03-04
Oh! Carol,Neil Sedaka,18.0,9.0,1959-10-07
"Oh, How I Miss You Tonight",Jeanne Black,5.0,63.0,1960-12-21
"Oh, Little One",Jack Scott,7.0,34.0,1960-04-27
"Oh, What A Fool",The Impalas,5.0,86.0,1959-06-17
Okefenokee,Freddie Cannon,9.0,43.0,1959-08-19
Ol' Mac Donald,Frank Sinatra,9.0,25.0,1960-11-02
Old MacDonald,The Chargers,1.0,95.0,1958-08-27
Old Shep,Ralph DeMarco,2.0,91.0,1959-11-04
Old Spanish Town,The Bell Notes,7.0,76.0,1959-04-29
Ole Buttermilk Sky,Bill Black's Combo,7.0,25.0,1961-05-31
On An Evening In Roma,Dean Martin,13.0,59.0,1959-07-08
On The Beach,Frank Chacksfield And His Orch.,8.0,47.0,1960-01-20
On The Rebound,Floyd Cramer,13.0,4.0,1961-03-01
Once In Awhile,The Chimes,18.0,11.0,1960-10-26
Once Upon A Time,Rochell And The Candles With Johnny Wyatt,13.0,26.0,1961-02-01
One Boy,Joanie Sommers,9.0,54.0,1960-06-29
"One Love, One Heart",The Four Coins,4.0,82.0,1959-06-03
One Mint Julep,Chet Atkins,13.0,8.0,1959-12-30
One More Chance,Rod Bernard,9.0,74.0,1959-11-04
One More Sunrise (Morgen),Leslie Uggams,1.0,98.0,1959-09-09
One Night,Elvis Presley,17.0,4.0,1958-11-05
One Of The Lucky Ones,Anita Bryant,7.0,62.0,1960-10-05
One Of Us (Will Weep Tonight),Patti Page,14.0,31.0,1960-06-01
One Summer Night,The Danleers,8.0,16.0,1961-06-28
Only Sixteen,Sam Cooke,10.0,28.0,1959-06-03
Only The Lonely (Know How I Feel),Roy Orbison,21.0,2.0,1960-06-01
Only You,Franck Pourcel's French Fiddles,16.0,9.0,1959-04-01
Ooh Poo Pah Doo - Part II,Jessie Hill,16.0,28.0,1960-03-23
Op,The Honeycones,1.0,69.0,1958-01-01
Orange Blossom Special,Billy Vaughn And His Orchestra,6.0,63.0,1961-02-15
Our Love Is Here To Stay,Dinah Washington,3.0,89.0,1961-05-03
Outside My Window,The Fleetwoods,9.0,28.0,1960-02-10
Over And Over,Bobby Day,11.0,41.0,1958-01-01
Over The Mountain; Across The Sea,Johnnie & Joe,2.0,89.0,1960-09-21
Over The Rainbow,The Demensions,15.0,16.0,1960-06-29
Over The Weekend,The Playboys,6.0,62.0,1958-08-27
Padre,Toni Arden,4.0,63.0,1958-01-01
Paper Roses,Anita Bryant,17.0,5.0,1960-04-06
Paradise,Sammy Turner,11.0,46.0,1960-02-10
Paris,Perez Prado And His Orchestra,1.0,95.0,1958-10-15
Patricia,Perez Prado And His Orchestra,14.0,2.0,1958-01-01
Patsy,Jack Scott,4.0,65.0,1960-10-12
Peace,The McGuire Sisters,3.0,85.0,1959-04-29
Peace Of Mind,Teresa Brewer,4.0,66.0,1960-01-27
Peanut Butter,The Marathons,12.0,20.0,1961-04-19
Peanuts,Rick And The Keens,8.0,71.0,1961-06-28
Peek-A-Boo,The Cadillacs,10.0,28.0,1958-12-03
Pennies From Heaven,The Skyliners,13.0,24.0,1960-05-04
Pepe,Duane Eddy His Twangy Guitar And The Rebels,12.0,18.0,1960-12-14
Perfidia,The Ventures,13.0,15.0,1960-10-26
Personality,Lloyd Price and His Orchestra,19.0,2.0,1959-04-22
Peter Gunn,Ray Anthony and His Orchestra,17.0,8.0,1958-12-31
Petite Fleur (Little Flower),Chris Barber's Jazz Band,15.0,5.0,1959-01-07
Philadelphia U.S.A.,The Nu Tornados,12.0,26.0,1958-12-10
Pick Me Up On Your Way Down,Pat Zill,1.0,91.0,1961-05-17
Pickle Up A Doodle,Teresa Brewer,1.0,99.0,1958-08-27
Pineapple Princess,Annette With The Afterbeats,14.0,11.0,1960-08-10
Pink Chiffon,Mitchell Torok,9.0,60.0,1960-05-04
Pink Shoe Laces,Dodie Stevens,19.0,3.0,1959-02-11
"Piove (Ciao, Ciao Bambina)",Domenico Modugno,1.0,97.0,1959-03-04
Pipe Dreams,Jimmy Beck & His Orchestra,2.0,82.0,1959-04-15
Pitter-Patter,The Four Sportsmen,2.0,86.0,1961-07-19
Plain Jane,Bobby Darin,9.0,38.0,1959-01-21
Please Don't Do It,Dale Wright And The Wright Guys With the Dons,5.0,77.0,1958-08-27
"Please Help Me, I'm Falling",Hank Locklin,22.0,8.0,1960-07-13
Please Love Me Forever,Tommy Edwards,12.0,12.0,1958-10-15
Please Mr. Sun,Tommy Edwards,13.0,11.0,1959-02-11
Please Stay,The Drifters,12.0,16.0,1961-05-31
Please Tell Me Why,Jackie Wilson,8.0,20.0,1961-03-08
Pledging My Love,Roy Hamilton,12.0,45.0,1960-04-06
Plenty Good Lovin',Connie Francis,7.0,69.0,1959-09-16
Poco-Loco,Gene & Eunice,13.0,48.0,1959-08-19
Poetry In Motion,Johnny Tillotson,15.0,2.0,1960-10-05
Point Of No Return,Adam Wade,4.0,85.0,1961-06-14
Pointed Toe Shoes,Carl Perkins,2.0,93.0,1959-05-27
Poison Ivy,The Coasters,16.0,7.0,1959-08-19
Pony Express,Danny & The Juniors,7.0,60.0,1961-02-15
Pony Time,Chubby Checker,16.0,1.0,1961-01-18
Poor Boy,The Royaltones,17.0,17.0,1958-10-15
Poor Jenny,The Everly Brothers,12.0,22.0,1959-03-25
Poor Little Fool,Ricky Nelson,11.0,1.0,1958-01-01
Portrait Of My Love,Steve Lawrence,16.0,9.0,1961-03-01
Pretend,Carl Mann,7.0,57.0,1959-10-21
Pretty Blue Eyes,Steve Lawrence,18.0,9.0,1959-11-18
Pretty Girls Everywhere,Eugene Church and The Fellows,15.0,36.0,1958-12-10
Pretty Little Angel Eyes,Curtis Lee,8.0,7.0,1961-06-28
Primrose Lane,Jerry Wallace With The Jewels,21.0,8.0,1959-08-12
Princess,Frank Gari,8.0,32.0,1961-06-28
Prisoner's Song,Warren Storm,2.0,81.0,1958-08-20
Private Eye,The Olympics,1.0,95.0,1959-09-09
Problems,The Everly Brothers,15.0,2.0,1958-11-05
Promise Me A Rose (A Slight Detail),Anita Bryant,3.0,78.0,1959-12-23
"Promise Me, Love",Andy Williams,12.0,17.0,1958-08-27
Psycho,Bobby Hendricks,4.0,73.0,1960-11-02
Puppy Love,Paul Anka,14.0,2.0,1960-02-17
Push Push,Austin Taylor,2.0,90.0,1960-11-09
Pussy Cat,The Ames Brothers,15.0,17.0,1958-09-24
Put A Ring On My Finger,Les Paul And Mary Ford,10.0,32.0,1958-08-13
Put Your Arms Around Me Honey,Ray Smith,6.0,58.0,1960-05-04
Put Your Head On My Shoulder,Paul Anka,18.0,2.0,1959-08-26
Quarter To Three,U.S. Bonds,14.0,1.0,1961-05-17
Queen Of The Hop,Bobby Darin,19.0,9.0,1958-10-01
Question,Lloyd Price and His Orchestra,11.0,19.0,1960-06-22
Quiet Village,The Exotic Sounds of Martin Denny,16.0,4.0,1959-04-08
Quite A Party,The Fireballs,9.0,30.0,1961-06-21
Ragtime Cowboy Joe,David Seville And The Chipmunks,9.0,16.0,1959-07-01
Raindrops,Dee Clark,12.0,2.0,1961-04-26
Rainin' In My Heart,Slim Harpo,7.0,34.0,1961-05-24
Raining In My Heart,Buddy Holly,2.0,88.0,1959-03-25
Ram-Bunk-Shush,The Ventures,9.0,29.0,1961-01-18
Rama Lama Ding Dong,The Edsels,11.0,21.0,1961-04-26
Rambling,The Ramblers,4.0,73.0,1960-11-30
Ramona,The Blue Diamonds,5.0,72.0,1960-11-23
Ramrod,Duane Eddy His Twangy Guitar And The Rebels,8.0,28.0,1958-08-20
"Raspberries, Strawberries",The Kingston Trio,8.0,70.0,1959-01-07
Raw-Hide,Link Wray And The Wraymen,13.0,23.0,1959-01-21
Ready For Your Love,Shep And The Limelites,2.0,73.0,1961-07-05
Real Wild Child,Ivan,5.0,68.0,1958-09-17
Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,8.0,6.0,1958-01-01
Record Hop Blues,The Quarter Notes,1.0,82.0,1959-03-18
Red River Rock,Johnny And The Hurricanes,17.0,5.0,1959-07-29
Red River Rose,The Ames Brothers,10.0,37.0,1958-12-24
Red Sails In The Sunset,The Platters Featuring Tony Williams,8.0,36.0,1960-07-27
Remember When,The Platters,9.0,41.0,1959-06-17
Return To Me,Dean Martin,4.0,48.0,1958-01-01
Reveille Rock,Johnny And The Hurricanes,13.0,25.0,1959-10-28
Revival,Johnny And The Hurricanes,1.0,97.0,1960-08-24
Right By My Side,Ricky Nelson,6.0,59.0,1960-04-27
Right Or Wrong,Wanda Jackson,9.0,29.0,1961-05-31
Ring Of Fire,Duane Eddy,3.0,84.0,1961-05-24
Ring-A-Ling-A-Lario,Jimmie Rodgers,8.0,32.0,1959-05-27
"River, Stay 'Way From My Door",Frank Sinatra,2.0,82.0,1960-05-25
Riverboat,Faron Young,3.0,83.0,1959-12-30
Road Runner,Bo Diddley,6.0,75.0,1960-02-24
Robbin' The Cradle,Tony Bellus,26.0,25.0,1959-04-22
Rock-in Robin,Bobby Day,21.0,2.0,1958-01-01
Rocka-Conga,The Applejacks,10.0,38.0,1958-12-17
Rockhouse (Part 2),Ray Charles and his Orchestra,2.0,79.0,1958-12-17
Rockin' Around The Christmas Tree,Brenda Lee,4.0,14.0,1960-12-07
Rockin' Crickets,Hot-Toddys featuring Bill Pennell,11.0,57.0,1959-03-25
Rockin' In The Jungle,The Eternals,3.0,78.0,1959-07-08
Rockin' Little Angel,Ray Smith,16.0,22.0,1959-12-30
Rockin' Red Wing,Sammy Masters,5.0,64.0,1960-03-30
"Rockin', Rollin' Ocean",Hank Snow,4.0,87.0,1960-11-30
Rocking Goose,Johnny And The Hurricanes,6.0,60.0,1960-08-31
Roll Over Beethoven,The Velaires,2.0,81.0,1961-07-19
Ronnie,Marcy Joe,3.0,81.0,1961-05-17
Rubber Ball,Bobby Vee,14.0,6.0,1960-11-23
Ruby,Adam Wade,9.0,28.0,1960-03-09
Ruby Duby Du,Tobin Mathews & Co.,8.0,30.0,1960-10-26
Ruby Duby Du From Key Witness,Charles Wolcott,7.0,41.0,1960-10-26
Rudolph The Red Nosed Reindeer,David Seville And The Chipmunks,2.0,21.0,1960-12-14
Run Red Run,The Coasters,8.0,36.0,1959-12-16
Run Rudolph Run,Chuck Berry,3.0,69.0,1958-12-10
Run Samson Run,Neil Sedaka,11.0,28.0,1960-08-03
Runaround,The Fleetwoods,13.0,23.0,1960-05-18
Runaway,Del Shannon,17.0,1.0,1961-03-01
Running Bear,Johnny Preston,27.0,1.0,1959-10-07
Running Scared,Roy Orbison,15.0,1.0,1961-04-05
Russian Band Stand,Spencer & Spencer with the Sonia Pryor Choir,2.0,91.0,1959-05-13
Sacred,The Castells,8.0,29.0,1961-05-24
Sad Eyes (Don't You Cry),The Echoes,3.0,88.0,1961-06-07
Sad Mood,Sam Cooke,8.0,29.0,1960-11-30
Sailor (Your Home Is The Sea),Lolita,18.0,5.0,1960-10-19
Sal's Got A Sugar Lip,Johnny Horton,7.0,81.0,1959-08-12
San Antonio Rose,Floyd Cramer,12.0,8.0,1961-05-31
San-Ho-Zay,Freddy King,3.0,68.0,1961-07-19
Sandy,Larry Hall,15.0,15.0,1959-11-18
Save My Soul,Jack Scott,3.0,73.0,1958-12-24
Save The Last Dance For Me,The Drifters,18.0,1.0,1960-08-31
Saved,LaVern Baker,7.0,37.0,1961-04-05
Say Man,Bo Diddley,12.0,20.0,1959-09-16
Scarlet Ribbons (For Her Hair),The Browns,14.0,13.0,1959-10-28
School Is Out,Gary U.S. Bonds,5.0,10.0,1961-07-19
Sea Cruise,Frankie Ford,17.0,14.0,1959-02-04
